season,rundle,league,div
61,B,Frontier,0
61,C,Frontier,1
61,C,Frontier,2
61,D,Frontier,1
61,D,Frontier,2
61,E,Frontier,1
61,E,Frontier,2
61,R,Frontier,1
61,R,Frontier,2
61,A,Highland,0
61,B,Highland,0
61,C,Highland,0
61,D,Highland,1
61,D,Highland,2
61,E,Highland,1
61,E,Highland,2
61,R,Highland,0
61,A,Metro,0
61,B,Metro,0
61,C,Metro,0
61,D,Metro,1
61,D,Metro,2
61,E,Metro,1
61,E,Metro,2
61,R,Metro,1
61,R,Metro,2
61,A,Midland,0
61,B,Midland,0
61,C,Midland,0
61,D,Midland,1
61,D,Midland,2
61,E,Midland,1
61,E,Midland,2
61,R,Midland,1
61,R,Midland,2
61,A,Pacific,0
61,B,Pacific,0
61,C,Pacific,0
61,D,Pacific,1
61,D,Pacific,2
61,E,Pacific,1
61,E,Pacific,2
61,R,Pacific,1
61,R,Pacific,2
61,A,Seaboard,0
61,B,Seaboard,0
61,C,Seaboard,1
61,C,Seaboard,2
61,D,Seaboard,1
61,D,Seaboard,2
61,E,Seaboard,1
61,E,Seaboard,2
61,R,Seaboard,1
61,R,Seaboard,2
62,A,Central,0
62,B,Central,0
62,C,Central,0
62,D,Central,1
62,D,Central,2
62,E,Central,1
62,E,Central,2
62,R,Central,1
62,R,Central,2
62,A,Coastal,0
62,B,Coastal,0
62,C,Coastal,0
62,D,Coastal,1
62,D,Coastal,2
62,E,Coastal,1
62,E,Coastal,2
62,R,Coastal,0
62,A,Corridor,0
62,B,Corridor,0
62,C,Corridor,0
62,D,Corridor,1
62,D,Corridor,2
62,E,Corridor,1
62,E,Corridor,2
62,R,Corridor,1
62,R,Corridor,2
62,A,Frontier,0
62,B,Frontier,0
62,C,Frontier,1
62,C,Frontier,2
62,D,Frontier,1
62,D,Frontier,2
62,E,Frontier,1
62,E,Frontier,2
62,R,Frontier,1
62,R,Frontier,2
62,A,Highland,0
62,B,Highland,0
62,C,Highland,0
62,D,Highland,1
62,D,Highland,2
62,E,Highland,1
62,E,Highland,2
62,R,Highland,0
62,A,Metro,0
62,B,Metro,0
62,C,Metro,0
62,D,Metro,1
62,D,Metro,2
62,E,Metro,1
62,E,Metro,2
62,R,Metro,1
62,R,Metro,2
62,R,Metro,3
62,A,Midland,0
62,B,Midland,0
62,C,Midland,0
62,D,Midland,1
62,D,Midland,2
62,E,Midland,1
62,E,Midland,2
62,R,Midland,1
62,R,Midland,2
62,A,Pacific,0
62,B,Pacific,0
62,C,Pacific,0
62,D,Pacific,1
62,D,Pacific,2
62,E,Pacific,1
62,E,Pacific,2
62,R,Pacific,1
62,R,Pacific,2
62,A,Seaboard,0
62,B,Seaboard,0
62,C,Seaboard,0
62,D,Seaboard,1
62,D,Seaboard,2
62,E,Seaboard,1
62,E,Seaboard,2
62,R,Seaboard,1
62,R,Seaboard,2
62,A,Skyline,0
62,B,Skyline,0
62,C,Skyline,0
62,D,Skyline,1
62,D,Skyline,2
62,E,Skyline,1
62,E,Skyline,2
62,R,Skyline,0
63,A,Central,0
63,B,Central,0
63,C,Central,0
63,D,Central,1
63,D,Central,2
63,E,Central,1
63,E,Central,2
63,R,Central,1
63,R,Central,2
63,R,Central,3
63,A,Coastal,0
63,B,Coastal,0
63,C,Coastal,0
63,D,Coastal,1
63,D,Coastal,2
63,E,Coastal,1
63,E,Coastal,2
63,R,Coastal,1
63,R,Coastal,2
63,A,Corridor,0
63,B,Corridor,0
63,C,Corridor,0
63,D,Corridor,1
63,D,Corridor,2
63,E,Corridor,1
63,E,Corridor,2
63,R,Corridor,1
63,R,Corridor,2
63,A,Frontier,0
63,B,Frontier,0
63,C,Frontier,0
63,D,Frontier,1
63,D,Frontier,2
63,E,Frontier,1
63,E,Frontier,2
63,E,Frontier,3
63,R,Frontier,1
63,R,Frontier,2
63,A,Highland,0
63,B,Highland,0
63,C,Highland,0
63,D,Highland,1
63,D,Highland,2
63,E,Highland,1
63,E,Highland,2
63,R,Highland,1
63,R,Highland,2
63,A,Horizon,0
63,B,Horizon,0
63,C,Horizon,0
63,D,Horizon,1
63,D,Horizon,2
63,E,Horizon,1
63,E,Horizon,2
63,R,Horizon,1
63,R,Horizon,2
63,A,Metro,0
63,B,Metro,0
63,C,Metro,0
63,D,Metro,1
63,D,Metro,2
63,E,Metro,1
63,E,Metro,2
63,E,Metro,3
63,R,Metro,1
63,R,Metro,2
63,R,Metro,3
63,A,Midland,0
63,B,Midland,0
63,C,Midland,1
63,C,Midland,2
63,D,Midland,1
63,D,Midland,2
63,E,Midland,1
63,E,Midland,2
63,R,Midland,1
63,R,Midland,2
63,A,Pacific,0
63,B,Pacific,0
63,C,Pacific,0
63,D,Pacific,1
63,D,Pacific,2
63,E,Pacific,1
63,E,Pacific,2
63,R,Pacific,1
63,R,Pacific,2
63,A,Seaboard,0
63,B,Seaboard,0
63,C,Seaboard,1
63,C,Seaboard,2
63,D,Seaboard,1
63,D,Seaboard,2
63,E,Seaboard,1
63,E,Seaboard,2
63,R,Seaboard,1
63,R,Seaboard,2
63,R,Seaboard,3
63,A,Skyline,0
63,B,Skyline,0
63,C,Skyline,0
63,D,Skyline,1
63,D,Skyline,2
63,E,Skyline,1
63,E,Skyline,2
63,R,Skyline,1
63,R,Skyline,2
63,R,Skyline,3
64,A,Central,0
64,B,Central,0
64,C,Central,0
64,D,Central,1
64,D,Central,2
64,E,Central,1
64,E,Central,2
64,R,Central,1
64,R,Central,2
64,A,Coastal,0
64,B,Coastal,0
64,C,Coastal,0
64,D,Coastal,1
64,D,Coastal,2
64,E,Coastal,1
64,E,Coastal,2
64,R,Coastal,1
64,R,Coastal,2
64,A,Corridor,0
64,B,Corridor,0
64,C,Corridor,0
64,D,Corridor,1
64,D,Corridor,2
64,E,Corridor,1
64,E,Corridor,2
