season,league
82,Mesa
82,Magnolia
82,Laguna
82,Laurel
82,Palisade
82,Sugarloaf
82,Atlantic
82,Sequoia
82,Nebula
82,Savanna
82,Galaxy
82,Veldt
82,Central
82,Yukon
82,Bayou
82,Isthmus
82,Continental
82,Meridian
82,Arcadia
82,Typhoon
82,Frontier
82,Pacific
82,Highland
82,Skyline
82,Aurora
82,Cascade
82,Elysium
82,Archipelago
82,Peninsula
82,Taiga
82,Wilderness
82,Piedmont
82,Coastal
82,Summit
82,Juniper
82,Polaris
82,Prairie
82,Union
82,Zenith
82,Tundra
82,Valley
82,Citadel
82,Fjord
82,Tidewater
82,Sierra
82,Badlands
82,Seaboard
82,Keystone
82,Rubicon
82,Metro
83,Plaza
83,Maritime
83,Alpine
83,Horizon
83,Delta
83,Valhalla
83,Morningstar
83,Midland
83,Xanadu
83,Commonwealth
83,Ravenna
83,Garden
83,Zephyr
83,Olympic
83,Outback
83,Lyceum
83,Corridor
83,Canyon
83,Glacier
83,Memorial
83,Maelstrom
83,Mesa
83,Magnolia
83,Laguna
83,Laurel
83,Palisade
83,Sugarloaf
83,Atlantic
83,Sequoia
83,Nebula
83,Savanna
83,Galaxy
83,Veldt
83,Central
83,Quarry
83,Yukon
83,Bayou
83,Isthmus
83,Continental
83,Meridian
83,Arcadia
83,Typhoon
83,Frontier
83,Pacific
83,Highland
83,Skyline
83,Seneca
83,Aurora
83,Cascade
83,Elysium
83,Archipelago
83,Peninsula
83,Taiga
83,Wilderness
83,Piedmont
83,Coastal
83,Summit
83,Juniper
83,Polaris
83,Prairie
83,Union
83,Zenith
83,Tundra
83,Valley
83,Citadel
83,Fjord
83,Tidewater
83,Sierra
83,Badlands
83,Riviera
83,Seaboard
83,Keystone
83,Rubicon
83,Metro
84,Valhalla
84,Midland
84,Ravenna
84,Garden
84,Lyceum
84,Canyon
84,Glacier
84,Memorial
84,Maelstrom
84,Mesa
84,Magnolia
84,Laguna
84,Laurel
84,Galaxy
84,Meridian
84,Arcadia
84,Archipelago
84,Peninsula
84,Wilderness
84,Summit
84,Juniper
84,Prairie
84,Union
84,Citadel
